symbol,series,date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover,no_of_trades,deliverable_qty,dly_qt_to_traded_qty,daily_return_%,price_range,delivery_ratio_%,month,quarter,year
HDFCBANK,EQ,2019-11-04,1240.05,1246.45,1250.0,1229.05,1237.95,1236.85,1239.18,4967588,6155741415.2,160851,2736666,55.09,-0.2581,20.95,55.09,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-05,1236.85,1241.0,1244.8,1229.05,1240.0,1239.5,1236.72,6183905,7647753429.0,116040,4013870,64.91,0.2143,15.75,64.91,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-06,1239.5,1242.45,1259.0,1228.05,1256.5,1256.65,1243.91,6065168,7544516054.5,106886,3530632,58.21,1.3836,30.95,58.21,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-07,1256.65,1261.0,1269.7,1250.0,1262.05,1263.7,1260.3,8481517,10689227499.0,158059,5309958,62.61,0.561,19.7,62.61,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-08,1263.7,1259.0,1267.0,1251.45,1254.85,1255.6,1258.28,6625748,8337070329.9,123060,4276184,64.54,-0.641,15.55,64.54,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-11,1255.6,1252.55,1268.5,1250.5,1265.3,1264.75,1260.58,7143305,9004703936.15,87967,5175501,72.45,0.7287,18.0,72.45,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-13,1264.75,1261.95,1270.0,1253.6,1258.0,1257.55,1260.9,4646748,5859068447.6,123817,2809517,60.46,-0.5693,16.4,60.46,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-14,1257.55,1263.8,1277.0,1257.2,1275.0,1273.9,1267.09,5527609,7003995795.1,124827,2793186,50.53,1.3001,19.8,50.53,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-15,1273.9,1283.85,1285.0,1271.1,1279.75,1277.9,1279.78,4639506,5937530374.55,116607,2357045,50.8,0.314,13.9,50.8,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-18,1277.9,1277.0,1279.45,1258.7,1262.65,1262.05,1264.6,4565146,5773101976.9,143584,2914231,63.84,-1.2403,20.75,63.84,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-19,1262.05,1265.3,1275.0,1261.1,1274.75,1271.9,1269.59,5285289,6710158704.45,130282,3543343,67.04,0.7805,13.9,67.04,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-20,1271.9,1273.0,1282.95,1267.0,1275.0,1273.35,1274.0,5527129,7041572649.2,109397,3707282,67.07,0.114,15.95,67.07,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-21,1273.35,1270.25,1287.0,1268.35,1281.95,1283.35,1279.3,6009763,7688314981.0,128228,3782409,62.94,0.7853,18.65,62.94,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-22,1283.35,1283.65,1283.65,1262.0,1266.5,1264.75,1269.56,3844005,4880191775.15,101153,2523967,65.66,-1.4493,21.65,65.66,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-25,1264.75,1264.15,1279.5,1264.15,1272.9,1271.1,1272.73,3946778,5023175474.65,112947,2229882,56.5,0.5021,15.35,56.5,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-26,1271.1,1278.45,1279.75,1266.95,1276.0,1275.05,1273.47,4358001,5549764593.35,162619,2724001,62.51,0.3108,12.8,62.51,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-27,1275.05,1276.0,1285.75,1271.2,1278.6,1278.4,1277.74,4790333,6120781425.4,123094,3146643,65.69,0.2627,14.55,65.69,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-28,1278.4,1280.2,1283.05,1262.0,1267.75,1265.3,1269.05,6183020,7846573348.95,126121,3861436,62.45,-1.0247,21.05,62.45,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-11-29,1265.3,1267.7,1279.9,1252.0,1275.0,1274.95,1267.91,7783813,9869209147.6,179493,4492258,57.71,0.7627,27.9,57.71,2019-11,2019Q4,2019
HDFCBANK,EQ,2019-12-02,1274.95,1273.95,1273.95,1258.6,1262.55,1265.75,1265.0,4473102,5658467295.0,140206,2821604,63.08,-0.7216,15.35,63.08,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-03,1265.75,1268.2,1269.0,1253.8,1255.1,1255.4,1257.55,3495953,4396324269.0,145022,2455214,70.23,-0.8177,15.2,70.23,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-04,1255.4,1252.5,1256.9,1234.2,1251.65,1251.65,1244.89,5697807,7093157131.2,160001,3431195,60.22,-0.2987,22.7,60.22,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-05,1251.65,1255.6,1258.75,1240.75,1244.9,1245.6,1249.82,6386247,7981674760.3,135982,2989674,46.81,-0.4834,18.0,46.81,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-06,1245.6,1248.95,1260.0,1238.2,1245.4,1246.05,1250.9,6887325,8615373629.1,148575,4626402,67.17,0.0361,21.8,67.17,2019-12,2019Q4,2019
HDFCBANK,EQ,2019-12-09,1246.05,1249.5,1249.85,1237.55,1243.5,1242.95,1242.41,4132675,5134473126.3,91238,2690691,65.11,-0.2488,12.3,65.11,2019-12,2019Q4,2019
